trip_no,vcaseid,no,season,vq3,vq4_1,vq4_2,vq4_3,vq4_4,vq4_5,vq4_6,vq4_7,vq4_8,vq4_9,vq4_10,vq4_a1_1,vq4_a1_2,vq4_a1_3,vq4_a1_4,vq4_a1_5,vq4_a1_6,vq4_a1_7,vq4_a1_8,vq4_a1_9,vq4_a1_10,vq4_a2_1,vq4_a2_2,vq4_a2_3,vq4_a2_4,vq4_a2_5,vq4_a2_6,vq4_a2_7,vq4_a2_8,vq4_a2_9,vq4_a2_10,vq4_a3_1,vq4_a3_2,vq4_a3_3,vq4_a3_4,vq4_a3_5,vq4_a3_6,vq4_a3_7,vq4_a3_8,vq4_a3_9,vq4_a3_10,vq4_a4_1,vq4_a4_2,vq4_a4_3,vq4_a4_4,vq4_a4_5,vq4_a4_6,vq4_a4_7,vq4_a4_8,vq4_a4_9,vq4_a4_10,vq4_a5_1,vq4_a5_2,vq4_a5_3,vq4_a5_4,vq4_a5_5,vq4_a5_6,vq4_a5_7,vq4_a5_8,vq4_a5_9,vq4_a5_10,vq4_a6_1,vq4_a6_2,vq4_a6_3,vq4_a6_4,vq4_a6_5,vq4_a6_6,vq4_a6_7,vq4_a6_8,vq4_a6_9,vq4_a6_10,vq4_a7_1,vq4_a7_2,vq4_a7_3,vq4_a7_4,vq4_a7_5,vq4_a7_6,vq4_a7_7,vq4_a7_8,vq4_a7_9,vq4_a7_10,vq4_a8_1,vq4_a8_2,vq4_a8_3,vq4_a8_4,vq4_a8_5,vq4_a8_6,vq4_a8_7,vq4_a8_8,vq4_a8_9,vq4_a8_10,vq4_a9_1,vq4_a9_2,vq4_a9_3,vq4_a9_4,vq4_a9_5,vq4_a9_6,vq4_a9_7,vq4_a9_8,vq4_a9_9,vq4_a9_10,vq4_a10_1,vq4_a10_2,vq4_a10_3,vq4_a10_4,vq4_a10_5,vq4_a10_6,vq4_a10_7,vq4_a10_8,vq4_a10_9,vq4_a10_10,vq4_a11_1,vq4_a11_2,vq4_a11_3,vq4_a11_4,vq4_a11_5,vq4_a11_6,vq4_a11_7,vq4_a11_8,vq4_a11_9,vq4_a11_10,vq4_a12_1,vq4_a12_2,vq4_a12_3,vq4_a12_4,vq4_a12_5,vq4_a12_6,vq4_a12_7,vq4_a12_8,vq4_a12_9,vq4_a12_10,vq4_a13_1,vq4_a13_2,vq4_a13_3,vq4_a13_4,vq4_a13_5,vq4_a13_6,vq4_a13_7,vq4_a13_8,vq4_a13_9,vq4_a13_10,vq4_a14_1,vq4_a14_2,vq4_a14_3,vq4_a14_4,vq4_a14_5,vq4_a14_6,vq4_a14_7,vq4_a14_8,vq4_a14_9,vq4_a14_10,vq4_a15_1,vq4_a15_2,vq4_a15_3,vq4_a15_4,vq4_a15_5,vq4_a15_6,vq4_a16_1,vq4_a16_2,vq4_a16_3,vq4_a16_4,vq4_a16_5,vq4_a16_6,vq4_a16_7,vq4_a16_8,vq4_a16_9,vq4_a16_10,vq4_a17_1,vq4_a17_2,vq4_a17_3,vq4_a17_4,vq4_a17_5,vq4_a17_6,vq4_a17_7,vq4_a17_8,vq4_a18_1,vq4_a18_2,vq4_a18_3,vq4_a18_4,vq4_a18_5,vq4_a18_6,vq4_a18_7,vq4_a18_8,vq4_a18_9,vq4_a18_10,vq4_a19_1,vq4_a19_2,vq4_a19_3,vq4_a19_4,vq4_a19_5,vq4_a19_6,vq4_a19_7,vq4_a19_8,vq4_a19_9,vq4_a19_10,vq4_a20_1,vq4_a20_2,vq4_a20_3,vq4_a20_4,vq4_a20_5,vq4_a20_6,vq4_a20_7,vq4_a20_8,vq4_a20_9,vq4_a20_10,vq4_a21_1,vq4_a21_2,vq4_a21_3,vq4_a21_4,vq4_a21_5,vq4_a21_6,vq4_a21_7,vq4_a21_8,vq4_a21_9,vq4_a21_10,vq4_a22_1,vq4_a22_2,vq4_a22_3,vq4_a22_4,vq4_a22_5,vq4_a22_6,vq4_a22_7,vq4_a22_8,vq4_a22_9,vq4_a22_10,vq5,vq5a,vq5b,vq6,vq6a,vq7,vq7a,vq7b,vq7c_1,vq7c_2,vq7c_3,vq7c_4,vq7c_5,vq7c_6,vq7c_7,vq7c_8,vq7c_9,vq7c_10,vq8,vq9,vq9_1_1,vq9_1_2,vq9_1_3,vq9_2,vq9_3_1,vq9_3_2,vq9_3_3,vq9_3_4,vq9_3_5,vq9_4_1,vq9_4_2,vq9_4_3,vq9_4_4,vq9_4_5,vq10_1,vq10_2,vq10_3,vq10_4,vq10_5,vq10_6,vq10_7,vq10a_1,vq10a_2,vq10b_1,vq10b_2,vq10c_1,vq10c_2,vq11,vq11a,vq11b,vq11c,vq12a,vq12a1,vq12a1_1,vq12a1_2,vq12a1_3,vq12a1_4,vq12a1_5,vq12a2,vq12a3,vq12a4,vq12a5,vq12a6,vq12a7,vq12a8,vq12a8_1_1,vq12a8_1_2,vq12a8_1_3,vq12a8_1_4,vq12a8_1_5,vq12a8_1_6,q12a,q12a1,q12a2,q12a3,q12a4,q12a5,q12a6,q12a7,vq13_1,vq13_2,vq13_3,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14_6,vq15,vq15a_1,vq15a_2,vq15a_3,vq15a_4,vq15a_5,vq15a_6,vq16_1,vq16_2,vq16_3,vq16_4,vq16_5,vq16_6,vq16_7,vq16_8,vq16_9,vq16_10,vq16a,vb1,vb2,vb3,vb4,vb5,vb6,vb7,weight_q6
4829,96107870,6284,2,4,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1648,1649,1658,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3, ,2,1,4,5,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3,6,7, , , , ,2, , , , , ,2, , , ,10,1, , , , , ,10,5,10,1,8,1,2,1,2,3,5, , ,5625,0,1750,1250,1750,0,875,0,8,7,5,3, , , , , ,1,2, , , , , ,102,501,603,609, , , , , , ,501,4,5,5,1,6,1,2,.879061
2122,96217688,2703,1,3,5,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,515,527, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1616,1647,1649,1653,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,8,4,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,4,0,0,10,1, , , , , ,7,5,9,2,12,1,1, , , , , , ,6675,0,625,1250,1250,50,3500,0,8, , ,3,5, , , , ,1,2, , , , , ,501,502,505,603, , , , , , ,501,6,6,2,2,10,19,1,.765958
1306,96208986,1639,1,1,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1616,1648,1649,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,4,3,2,6,3,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1,11, , , , , , , , , , , ,2, , , ,11,1, , , , , ,6,8,11,1,10,1,2,3,5, , , , ,8450,0,450,3750,2500,0,1750,0,5, , ,5, , , , , ,2, , , , , , ,101,102,501,502,503, , , , , ,503,5,4,4,2,6,5,2,.591408
11324,98107330,15174,3,9,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1638,1653,1655,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,0,0,4,1, , , , , ,5, ,5,1,1,2,1, , , , , , ,800,0,350,0,350,0,0,100,7, , ,3, , , , , ,2, , , , , , ,209,212,502,503,603, , , , , ,603,2,3,14,1,2,1,1,2.670782
14050,96144401,18901,4,11,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1616,1650,1653,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,7,1, , , , , ,9, ,7,1,7,1,1, , , , , , ,2500,0,1250,0,625,0,625,0,7,5, ,8, , , , , ,2, , , , , , ,501,503,603, , , , , , , ,603,7,3,6,2,7,1,1,1.154288
13931,96136050,18762,4,12,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1616,1649,1650,1653,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,6, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1,6, , , , , , , , , , , ,1,2,0,0,10,1, , , , , ,9, ,9,1,9,1,2,3, , , , , ,3750,0,1250,0,1250,0,1250,0, , , ,5, , , , , ,1,6, , , , , ,203,501,502,503,603, , , , , ,603,11,2,11,4,5,1,2,.474828
655,96108736,819,1,2,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1610,1645,1648,1656,1658, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,4,3,2,9,3,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,0,0,11,1, , , , , ,7,9,7,1,9,1,2,3,5, , , , ,7250,0,625,4750,625,0,1250,0,7, , ,8, , , , , ,1,2, , , , , ,101,212,501,503,603,609, , , , ,101,7,6,2,2,10,2,2,.311373
1744,96109712,2196,1,2,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1607,1615,1616,1649,1658, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3, , , , , , ,2, , , , , ,1,2,0,0,7,1, , , , , ,1, ,9,1,9,1,2,3, , , , , ,2560,0,60,0,1250,0,1250,0,8,7,5,5, , , , , ,2, , , , , , ,501,603, , , , , , , , ,603,9,5,1,2,7,4,2,.99085
3954,96162574,5117,1,3,5,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,505,528, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1616,1649,1656,1658, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,2,1,2,6,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,8,1, , , , , ,9,6,10,1,8,1,1, , , , , , ,4750,0,1000,1500,1500,0,750,0,7,2, ,8, , , , , ,1,2, , , , , ,202,209,603, , , , , , , ,209,7,3,6,3,8,1,2,.447102
5173,96124841,6741,2,6,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1616,1649,1656,1658, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,4,7,4,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,1,0,10,1, , , , , ,7,5,11,7,1,1,1, , , , , , ,5000,0,625,1250,2500,625,0,0,7,5, ,5, , , , , ,2, , , , , , ,501,502,503,602,603, , , , , ,603,6,3,4,2,6,1,1,.745014
10371,96214004,13849,3,8,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1601,1607,1633,1651,1658,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,3,2,2,5,4,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,5,7,11, , , , , , , , , , ,2, , , ,10,1, , , , , ,9,5,10,1,7,1,1, , , , , , ,5275,0,1450,1450,1750,0,625,0,8, , ,1,5, , , , ,2, , , , , , ,101,102,201,204,501, , , , , ,201,11,3,13,4,6,5,1,.307926
7824,97117431,10393,2,6,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1638,1649,1651,1656,1657, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,7,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,2, , , ,12,1, , , , , ,7,7,15,1,1,1,2,2,3, , , , ,11875,0,625,2500,8750,0,0,0,8,7,5,3, , , , , ,1,2, , , , , ,101,104,203,209,501,603,609, , , ,501,4,5,5,1,7,3,2,.863461
15869,99109497,21034,4,11,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1628,1636,1638,1654,1657,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,6,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,9,1, , , , , ,7,6,10,1,9,1,2,2,3, , , , ,5375,0,625,1750,1750,0,1250,0,7,65, ,8, , , , , ,2, , , , , , ,101,102,104,209,501,603, , , , ,101,10,3,4,2,5,1,1,.433278
3375,96165857,4377,1,3,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1607,1617,1618,1641,1657, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,4,3,2,6,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,2, , , ,11,11,1,2,3,4, ,1,1,1,1,8,1,1, , , , , , ,10750,8750,2000,5000,1000,2000,750,0,3,6,7,5, , , , , ,1,2,3, , , , ,102,103,104,105,501,503, , , , ,102,10,5,13,2,8,3,2,.352164
3990,96143719,5163,1,3,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1616,1649,1653,1657,1658, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,4,1,0,6,1, , , , , ,7, ,7,7,4,1,1, , , , , , ,2125,0,625,0,625,625,250,0,7, , ,3, , , , , ,2, , , , , , ,204,502,503,603,609, , , , , ,204,7,3,5,2,8,1,2,.869331
670,96120037,838,1,3,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1610,1615,1616,1656,1657, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,2,1,2,6,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,2, , , ,10,1, , , , , ,9,6,10,13,1,1,1, , , , , , ,7250,0,1250,1500,1500,3000,0,0,5, , ,8, , , , , ,2, , , , , , ,305,502,603, , , , , , , ,502,5,3,6,1,10,2,1,1.073476
735,96177605,912,1,3,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1649,1650,1651,1656,1657, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,7,1, , , , , ,7, ,9,1,7,1,1, , , , , , ,2500,0,625,0,1250,0,625,0,7, , ,3, , , , , ,2, , , , , , ,101,204,212,501,603,609, , , , ,101,9,5,13,2,8,2,2,.992858
12969,98222205,17518,3,7,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1616,1648,1649,1656,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,8,4,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1,7, , , , , , , , , , , ,1,4,0,0,9,1, , , , , ,8,6,10,1,9,1,2,1,3,5, , , ,5125,0,875,1750,1500,0,1000,0,5, , ,3, , , , , ,2, , , , , , ,101,102,501,502,503,603, , , , ,603,6,5,2,2,7,5,1,.749637
13685,96119589,18465,4,10,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1648,1649,1651,1656,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,6,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1,6,7, , , , , , , , , , ,2, , , ,10,1, , , , , ,11,6,9,8,7,1,2,3,5, , , , ,7000,0,2500,1750,1250,875,625,0,1, , ,1, , , , , ,1,2,6, , , , ,203,204,501,502,503,603, , , , ,203,5,6,3,1,9,2,2,.99002
8690,97218616,11590,2,6,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1616,1648,1649,1653,1656, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4, ,2,1,4,7,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,5,10, , , , , , , ,2, , , ,2, , , ,10,1, , , , , ,10,7,9,1,12,1,1, , , , , , ,9000,0,1750,2500,1250,0,3500,0,3,8, ,3, , , , , ,2, , , , , , ,206,211,212,603, , , , , , ,206,3,5,5,1,6,8,2,1.08444
17843,99231037,23722,4,11,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1616,1638,1639,1654,1636, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,3,2,2,7,3,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,3,0,0,12,1, , , , , ,8,8,12,9,10,1,1, , , , , , ,10875,0,875,3500,3500,1250,1750,0,5,11, ,3, , , , , ,2, , , , , , ,101,102,209,308,401,501,502, , , ,501,6,3,6,2,8,5,1,.650742
10056,96170483,13429,3,9,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1628,1638,1647,1648,1654, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1,2,1,5,8,4,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,1,0,0,7,1, , , , , ,6,5,9,1,4,1,2,3, , , , , ,2950,0,450,1250,1000,0,250,0,7,1,10,3, , , , , ,1,65, , , , , ,101,102,105,201,212,501, , , , ,501,3,5,14,1,4,1,2,1.696728
4835,96108100,6293,2,6,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1612,1643,1647,1653,1654,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,3,2,2,88,2,16, , , , , , , , , ,1,5, , , ,1, , , , , , , , , , ,2, , , , , , , , , , ,1, ,1,2,0,0,10,9,1,2,3,4,5,1,1,4,1,10,1,1, , , , , , ,6250,4500,1200,2500,250,450,1750,100, , , ,5, , , , , ,2, , , , , , ,101,501,502,603, , , , , , ,101,8,3,11,2,5,7,2,.337986
15877,99109858,21047,4,10,6,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,601,610,611,625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1607,1615,1616,1650,1653,1655, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,2,1,2,4,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3,6, , , , , ,2, , , , , ,2, , , ,9,1, , , , , ,9,4,9,3,1,1,2,1,3, , , , ,3525,0,1250,875,1250,150,0,0,7, , ,5, , , , , ,2, , , , , , ,501,503,603, , , , , , , ,603,7,3,6,4,6,1,2,.430956
12338,98206769,16616,3,9,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1647,1649,1650,1651,1653,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,8,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,2, , , ,10,1, , , , , ,7,7,7,5,8,1,2,3,4, , , , ,5325,0,725,2750,625,350,875,0,8, , ,3, , , , , ,1,2, , , , , ,101,102,603, , , , , , , ,603,4,5,12,1,2,19,2,.95622
